epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1910.42,1.09803,0.63998,0.97584,0.92775,0.92739,0.96281,0.60557,1.20893,0.7206,1.0295,0.0002576,0.0002576,0.0002576
90,1932.14,1.07399,0.63309,0.96137,0.93201,0.9302,0.96998,0.62045,1.19153,0.69062,1.02737,0.0002378,0.0002378,0.0002378
91,1957.89,1.0652,0.62206,0.98459,0.93439,0.92341,0.96858,0.6137,1.19072,0.69339,1.02843,0.000218,0.000218,0.000218
92,1979.46,1.03829,0.62031,0.97714,0.92416,0.92143,0.96456,0.60171,1.21579,0.70933,1.03108,0.0001982,0.0001982,0.0001982
93,2000.73,1.04304,0.61823,0.98074,0.92693,0.92235,0.96638,0.60487,1.20753,0.70461,1.03143,0.0001784,0.0001784,0.0001784
94,2022.17,1.02202,0.60597,0.97342,0.92234,0.92109,0.96084,0.60218,1.22564,0.71671,1.03153,0.0001586,0.0001586,0.0001586
95,2043.86,1.03216,0.61024,0.98157,0.92768,0.92643,0.96407,0.60127,1.22438,0.71398,1.03419,0.0001388,0.0001388,0.0001388
96,2065.11,1.01435,0.59919,0.97278,0.92896,0.92196,0.96774,0.6048,1.215,0.70344,1.03051,0.000119,0.000119,0.000119
97,2086.54,1.0099,0.60036,0.96897,0.92283,0.92748,0.96572,0.61429,1.19314,0.68785,1.02946,9.92e-05,9.92e-05,9.92e-05
98,2107.67,0.9944,0.59857,0.97025,0.93134,0.93165,0.96795,0.61173,1.18961,0.69362,1.03013,7.94e-05,7.94e-05,7.94e-05
99,2128.76,1.00797,0.59745,0.96806,0.92816,0.92685,0.96703,0.60485,1.21471,0.7005,1.03289,5.96e-05,5.96e-05,5.96e-05
100,2149.96,1.00074,0.59662,0.96803,0.93187,0.92438,0.96866,0.61194,1.20139,0.69511,1.03048,3.98e-05,3.98e-05,3.98e-05
